PathParameter	MeanPathLikelihood	MLContribution
0.0000	-1.0577e+05	-0.22182
2.1715e-06	-98535	-1.8102
2.1888e-05	-85087	-4.4883
8.4561e-05	-58142	-6.9681
0.00022061	-44290	-10.003
0.00046416	-37858	-14.205
0.00085232	-35331	-19.872
0.0014248	-34090	-26.585
0.0022237	-32471	-34.428
0.0032929	-31928	-43.550
0.0046784	-30935	-53.619
0.0064280	-30358	-65.156
0.0085909	-29891	-76.334
0.011218	-28224	-86.525
0.014361	-26828	-98.241
0.018075	-26083	-107.76
0.022413	-23596	-114.79
0.027432	-22142	-125.40
0.033190	-21416	-139.15
0.039745	-21044	-152.05
0.047156	-19990	-165.78
0.055484	-19822	-182.47
0.064790	-19390	-198.28
0.075138	-18933	-215.22
0.086591	-18651	-232.19
0.099213	-18140	-250.74
0.11307	-18051	-271.93
0.12823	-17829	-293.05
0.14475	-17636	-315.46
0.16271	-17489	-339.41
0.18218	-17381	-364.05
0.20322	-17222	-388.92
0.22591	-17065	-415.48
0.25031	-16988	-443.59
0.27650	-16887	-472.35
0.30455	-16792	-502.71
0.33454	-16740	-534.98
0.36653	-16705	-568.37
0.40060	-16655	-602.68
0.43683	-16613	-638.34
0.47530	-16577	-674.98
0.51608	-16529	-712.69
0.55924	-16493	-751.87
0.60487	-16462	-792.17
0.65304	-16426	-833.73
0.70384	-16400	-876.57
0.75734	-16368	-920.72
0.81363	-16348	-966.25
0.87278	-16323	-1013.1
0.93488	-16307	-1061.4
1.0000	-16290	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -17180.678646892902

Inner area for path parameter in (2.1715e-06,0.93488) = -17180
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-42309	-0.22729
2.1715e-06	-38287	-1.7670
2.1888e-05	-34828	-4.2177
8.4561e-05	-37300	-6.8458
0.00022061	-35177	-10.180
0.00046416	-32130	-14.183
0.00085232	-31510	-19.806
0.0014248	-31091	-26.772
0.0022237	-30196	-34.356
0.0032929	-29567	-43.663
0.0046784	-29610	-53.733
0.0064280	-28824	-65.037
0.0085909	-28261	-77.452
0.011218	-26903	-87.754
0.014361	-25506	-98.160
0.018075	-23403	-106.03
0.022413	-22437	-115.94
0.027432	-21369	-125.86
0.033190	-20439	-137.99
0.039745	-20351	-154.59
0.047156	-19485	-165.44
0.055484	-19209	-182.37
0.064790	-18905	-199.10
0.075138	-18505	-215.49
0.086591	-18233	-233.65
0.099213	-17768	-250.24
0.11307	-17788	-272.56
0.12823	-17509	-293.56
0.14475	-17343	-315.29
0.16271	-17295	-339.28
0.18218	-17163	-364.59
0.20322	-17025	-389.74
0.22591	-16884	-415.13
0.25031	-16801	-443.51
0.27650	-16763	-472.95
0.30455	-16658	-502.74
0.33454	-16635	-534.85
0.36653	-16613	-568.45
0.40060	-16553	-602.71
0.43683	-16519	-638.27
0.47530	-16489	-675.23
0.51608	-16448	-712.67
0.55924	-16416	-751.76
0.60487	-16375	-792.17
0.65304	-16335	-833.65
0.70384	-16329	-876.59
0.75734	-16295	-920.70
0.81363	-16289	-966.26
0.87278	-16281	-1013.0
0.93488	-16257	-1061.4
1.0000	-16242	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -17187.906486915737
