PathParameter	MeanPathLikelihood	MLContribution
0.0000	-49007	-0.10704
2.1715e-06	-49574	-0.87573
2.1888e-05	-39260	-2.1242
8.4561e-05	-28526	-3.5591
0.00022061	-23793	-5.1932
0.00046416	-18854	-6.8570
0.00085232	-16477	-9.1263
0.0014248	-15406	-12.092
0.0022237	-14869	-15.515
0.0032929	-14153	-19.404
0.0046784	-13856	-23.801
0.0064280	-13353	-28.561
0.0085909	-13057	-33.704
0.011218	-12602	-39.056
0.014361	-12247	-44.470
0.018075	-11704	-49.659
0.022413	-11190	-55.496
0.027432	-10923	-61.701
0.033190	-10509	-68.348
0.039745	-10346	-75.144
0.047156	-9933.4	-81.882
0.055484	-9730.9	-89.220
0.064790	-9442.5	-96.925
0.075138	-9290.9	-105.50
0.086591	-9133.2	-114.65
0.099213	-9032.9	-124.62
0.11307	-8954.4	-135.11
0.12823	-8873.1	-146.23
0.14475	-8823.5	-157.97
0.16271	-8765.6	-170.21
0.18218	-8722.0	-183.01
0.20322	-8672.8	-196.37
0.22591	-8638.7	-210.30
0.25031	-8597.9	-224.77
0.27650	-8566.8	-239.84
0.30455	-8533.7	-255.40
0.33454	-8502.0	-271.62
0.36653	-8478.8	-288.55
0.40060	-8457.8	-306.05
0.43683	-8435.9	-324.17
0.47530	-8419.3	-343.03
0.51608	-8405.5	-362.47
0.55924	-8389.3	-382.50
0.60487	-8375.8	-403.16
0.65304	-8361.6	-424.49
0.70384	-8351.2	-446.48
0.75734	-8339.2	-469.12
0.81363	-8330.1	-492.51
0.87278	-8322.9	-516.55
0.93488	-8314.2	-541.26
1.0000	-8308.1	

log marginal likelihood (using path sampling) from pathLikelihood.delta = -8658.740447784012

Inner area for path parameter in (2.1715e-06,0.93488) = -8658.6
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-21449	-0.10553
2.1715e-06	-19557	-0.92280
2.1888e-05	-15987	-2.2042
8.4561e-05	-14461	-3.3322
0.00022061	-14605	-5.1963
0.00046416	-14063	-6.9132
0.00085232	-13442	-9.1146
0.0014248	-12703	-12.038
0.0022237	-12970	-15.597
0.0032929	-12693	-19.349
0.0046784	-12311	-23.921
0.0064280	-12143	-28.480
0.0085909	-11907	-33.776
0.011218	-11394	-38.808
0.014361	-11202	-44.684
0.018075	-10657	-49.758
0.022413	-10491	-55.403
0.027432	-10263	-62.040
0.033190	-9987.6	-68.149
0.039745	-9800.6	-75.712
0.047156	-9428.0	-81.692
0.055484	-9331.5	-89.675
0.064790	-9081.7	-96.761
0.075138	-8968.8	-105.50
0.086591	-8828.0	-114.63
0.099213	-8799.3	-124.64
0.11307	-8767.4	-135.21
0.12823	-8672.8	-146.14
0.14475	-8633.0	-157.93
0.16271	-8629.1	-170.16
0.18218	-8594.1	-183.03
0.20322	-8546.3	-196.28
0.22591	-8498.3	-210.32
0.25031	-8462.6	-224.63
0.27650	-8444.3	-239.81
0.30455	-8435.2	-255.43
0.33454	-8405.6	-271.61
0.36653	-8400.6	-288.47
0.40060	-8390.6	-306.10
0.43683	-8377.7	-324.14
0.47530	-8359.7	-342.95
0.51608	-8351.8	-362.52
0.55924	-8344.4	-382.54
0.60487	-8327.4	-403.19
0.65304	-8318.0	-424.47
0.70384	-8307.7	-446.53
0.75734	-8303.2	-469.11
0.81363	-8298.7	-492.48
0.87278	-8290.8	-516.60
0.93488	-8285.3	-541.27
1.0000	-8279.7	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = -8659.314210963226
