ac	name	clade	eco	host	ref
AB462295	Shanghai_1_2006	234	D	M	-
AB517661	house_crow_Hong_Kong_7677_2008	232	W	A	-
AB517663	grey_heron_Hong_Kong_779_2009	232	W	A	-
AB521159	peregrine_falcon_Hong_Kong_810_2009	234	W	A	-
AB521161	large_billed_crow_Hong_Kong_885_2009	232	W	A	-
AB521163	crested_myna_Hong_Kong_1178_2009	232	W	A	-
AB557629	feral_pigeon_Hong_Kong_3409_2009	232	W	A	-
AB557633	oriental_magpie_robin_Hong_Kong_9298_2009	232	W	A	-
AY518362	duck_China_E319_2_03	232	D	A	-
AY651363	Dk_HN_5806_2003	232	D	A	-
AY651364	Dk_HN_303_2004	232	D	A	-
AY651365	Dk_HN_101_2004	232	D	A	-
AY651366	Ph_ST_44_2004	232	D	A	-
AY737289	chicken_Guangdong_191_04	232	D	A	-
AY737296	chicken_Guangdong_178_04	232	D	A	-
AY741217	tree_sparrow_Henan_2_2004	7	W	A	-
CY028961	silky_chicken_Shantou_475_2004	232	D	A	-
CY028969	duck_Hunan_533_2004	232	D	A	-
CY028970	duck_Hunan_733_2004	232	D	A	-
CY030881	duck_Yunnan_4873_2006	234	D	A	-
CY030889	duck_Yunnan_5310_2006	234	D	A	-
CY030897	duck_Yunnan_6490_2006	234	D	A	-
CY030905	goose_Yunnan_3798_2006	234	D	A	-
CY030913	goose_Yunnan_4371_2006	234	D	A	-
CY030921	goose_Yunnan_4389_2006	234	D	A	-
CY030929	goose_Yunnan_4985_2006	234	D	A	-
CY030937	goose_Yunnan_5141_2006	234	D	A	-
CY030945	goose_Yunnan_5540_2006	234	D	A	-
CY030953	goose_Yunnan_5599_2006	234	D	A	-
CY030961	goose_Yunnan_5769_2006	234	D	A	-
CY030969	goose_Yunnan_5979_2006	234	D	A	-
CY030977	goose_Yunnan_6193_2006	234	D	A	-
CY030985	goose_Yunnan_6384_2006	234	D	A	-
CY036045	peregrine_falcon_Hong_Kong_5211_2006	232	W	A	-
CY036053	scaly_breasted_munia_Hong_Kong_45_2007	234	W	A	-
CY036061	crested_goshawk_Hong_Kong_458_2007	234	W	A	-
CY036069	house_crow_Hong_Kong_719_2007	234	W	A	-
CY036077	Japanese_white_eye_Hong_Kong_737_2007	234	W	A	-
CY036085	white_backed_munia_Hong_Kong_828_2007	234	W	A	-
CY036093	peregrine_falcon_Hong_Kong_1143_2007	232	W	A	-
CY036109	blue_magpie_Hong_Kong_1993_2007	234	W	A	-
CY036117	silver_eared_mesia_Hong_Kong_2065_2007	234	W	A	-
CY036125	common_kestrel_Hong_Kong_2372_2007	234	W	A	-
CY036133	scaly_breasted_munia_Hong_Kong_2433_2007	234	W	A	-
CY036141	chestnut_munia_Hong_Kong_2442_2007	234	W	A	-
CY036149	scaly_breasted_munia_Hong_Kong_2572_2007	234	W	A	-
CY036157	long_tailed_shrike_Hong_Kong_2762_2007	234	W	A	-
CY036165	red_billed_starling_Hong_Kong_4925_2007	232	W	A	-
CY036173	common_magpie_Hong_Kong_5052_2007	232	W	A	-
CY036181	Daurian_starling_Hong_Kong_1532_2007	232	W	A	-
CY036189	house_crow_Hong_Kong_5288_2007	232	W	A	-
CY036197	little_egret_Hong_Kong_8550_2007	232	W	A	-
CY036205	little_egret_Hong_Kong_8863_2007	232	W	A	-
